category,value
school-name,Szkoła Podstawowa nr 5
username,ana_933
company,"""PPUH Latuszek i syn s.c."""
secret,AKIAABFFTUB64FWE75QN
company,Agencja Marketingowa Creativa
ethnicity,Niemiec
sex,F
age,88
sexual-orientation,aseksualny
relative,córka Karolina Kowalski
email,krzysztof.jankowski78@example.com
job-title,lekarz
address,"al. Jana Pawła II 88, 30-001 Kielce"
job-title,projektant UX
company,Wielkopolski Wojewódzki Konserwator Zabytków
political-view,liberalne
username,@wiktor36
age,13
job-title,nauczyciel
address,"ul. Kwiatowa 70, Czechowice-Dziedzice"
credit-card-number,3753-7168-1660-124
age,13
religion,świadek Jehowy
city,Poznań
address,"ul. Targowa 2/4, 87-100 Toruń"
school-name,Liceum Ogólnokształcące im. M. Kopernika
relative,moja siostra Andrzej Czarnecki
secret,AKIA1O7CRQXK7HRK2K0D
relative,mój brat Piotr Bąk
relative,syn Bartosz Wiśniewski
age,80
school-name,Politechnika Wrocławska
date,2014-08-19
phone,+48 609 487 192
pesel,68051234513
credit-card-number,5176 9889 1292 9216
sex,kobieta
surname,Zieliński
name,Piotr
city,Tarnobrzeg
email,damian.mazur26@gmail.com
age,13
credit-card-number,5482-9184-8710-...
phone,+48 782 582 g00
job-title,lekarz
sexual-orientation,bisekhualny
name,Wiktor
religion,świadek Jehowy
sexual-orientation,heteroseksualny
pesel,16320z09319
school-name,Uniwers5tet Warszawski
health,nadciśnienie
bank-account,PL07900114698198655381989505
age,70
address,"ul. Grabiszyńska 241, 53-234 Opole"
bank-account,PL14481950024103068771639405
relative,córka Karolina Kowalski
date,2023-05-29
address,"ul. Lesna 1, 15-001 Bialystok"
date,02 10 2007 r
email,michał.piotrowski24@example.com
city,Jaworzno
job-title,sprzedawca
date-of-birth,29/08/1995
name,Karolina
pesel,4308155045
email,michał.kościesza99@wp.pl
company,Przychodnia Zdrowia Sp. z o.o.
health,astma
surname,Wieczorek
job-title,menedżer projektu
username,iwonakania290
city,Vienna
username,dawidzawadzki838
political-view,liberalne
relative,cróka Maria Wróbel
company,Burmistrz Miasta i Gminy w Oleśnica
username,szymon.czarnecki
religion,prawosławny
sex,mężczyzna
health,alergia
pesel,38111351287
sex,inne
company,Nauka i Rozwój Sp. z o.o.
age,40
ethnicity,Białorusin
city,Chodzież
political-view,koserwatywne
age,13
ethnicity,Litwin
age,67
ethnicity,Rom
bank-account,82M3 8855 6993 9975
date,27.03.1990
pesel,72050670333
health,nadciśnienie
sex,k
health,cukrzyca
sexual-orientation,heteroseksualny
date,23 09 2008 r
age,6
health,COVID-19 - przebyte
date-of-birth,13/01/1996
email,kajefan.bodzak86@gmail.com
city,Tokyo
secret,passwd:dkIucLhpya
health,depresja
date,03/09/2013
religion,muzułmanin
city,San Francisco
political-view,konserwatywne
pesel,38111351287
religion,prawosławny
email,dawid.pawlak1@onet.pl
secret,AKIAABFFTUB64FWE75QN
school-name,Szkoła Podstawowa nr 5
ethnicity,Białorusin
email,agnieszka.materka27@example.com
phone,+48 532-407-55
religion,żyd
company,"""Korzekwa-Broniek Sp.k."""
name,Rafał
health,alergia
secret,AKIAABFFTUB64FWE75QN
political-view,prawicowe
username,@wiktor36
political-view,lewicowe
health,alergia
address,"al. Jana Pawła II 88, 30-001 Kielce"
sex,M
company,Polska Energetyka S.A.
job-title,analityk danych
pesel,78011780446
age,80
username,jakub.szymański
company,Kancelaria Kowalski i Wspólnicy
phone,+48 782 582 g00
sexual-orientation,panseksualny
company,Restauracja Smak
secret,AKIAVM7NMGN6WF780IHV
credit-card-number,3753-7168-1660-124
email,mateusz.wojciechowski75@example.com
health,astma
date-of-birth,29/08/1995
sex,m
email,aleksander.wieczorek18@example.com
address,"plac Podmiejska 93, 52-097 Żywiec"
date,12 10 2005 r
health,brak chorób przewlekłych
sexual-orientation,heteroseksualny
date-of-birth,23.02...
relative,mój brat Piotr Bąk
name,Magdalena
company,Tech Solutions Sp. z o.o.
date-of-birth,23/01/1976
bank-account,SE31000407630544279087082314
name,Grzegorz
company,Burmistrz Miasta i Gm5ny w Oleśnica
phone,+48 724 384 173
address,"ulica Wrocławska l2/14, 79-741 Głogów"
phone,514 588 331
email,iwona.zieliński94@example.com
address,"pl. Park0wa 67, 55-082 Tyc#y"
document-number,64FW9HQ73
pesel,72050670333
surname,Sikora
sexual-orientation,heteroseksualny
pesel,51052206036
phone,+48 787 728 331
phone,514 588 331
address,"ul. Lubelska 7, 20-090 Lublin"
email,wiktor.linka93@example.com
city,Rome
name,Juliusz
pesel,50081362843
school-name,Zespół Szkół Ekonomicznych
pesel,90112757578
date,02 10 2007 r
credit-card-number,5482-9184-8710-...
username,rafałkaczmarek489
date-of-birth,1941-01-19
city,Żyrardów
city,Gdynia
pesel,16320z09319
document-number,8371-8805-7449
health,brak chorób przewlekłych
address,"al. Słonecznikowa 27, 10-776 Elbląg"
bank-account,PL14481950024103068771639405
school-name,Politechnika Wrocławska
email,paulina.nowicki15@wp.pl
surname,Nagórka
health,astma
credit-card-number,5434560361066861
relative,syn Bartosz Wiśniewski
address,"pl. Park0wa 67, 55-082 Tyc#y"
address,"al. Orzechowa 37/41, 27-233 Siemianowice Śląskie"
document-number,CE2692728
age,q
health,alergia
pesel,16320z09319
surname,Kubaik
ethnicity,Ukrainec
sex,M
username,helena_1@2
name,Alicja
sex,mężczyzna
username,helena_1@2
secret,passwd:lbyEtZuEjG
religion,protestant
pesel,38111351287
username,ana_933
company,Gabinety Ośkap1.
city,Chrzanów
job-title,księgowy
name,Kalina
health,alergia
religion,żyd
relative,moja siostra Andrzej Czarnecki
age,70
sexual-orientation,biseksualny
date,03/09/2013
political-view,konserwatywne
relative,córka Karolina Kowalski
credit-card-number,5434560361066861
company,Nauka i Rozwój Sp. z o.o.
email,anna.jabłoński94@wp.pl
date,2014-08-19
sexual-orientation,heteroseksualny
address,"ul. Piotrkowska 100, 90-004 Łódź"
surname,Nagórka
age,13
credit-card-number,5434560361606861
job-title,menedżer projektu
date,23 09 2008 r
religion,protestant
school-name,Przedszkole nr 12
sex,m
username,natalia_636
health,alergia
date-of-birth,23/01/1976
phone,+48 650-820-73
relative,syn Bartosz Wisniewski
email,apolonia.mroż60@onet.pl
political-view,lewicowe
age,74
relative,moja siostra Andrzej Czarnecki
email,rafał.mazur86@wp.pl
political-view,prawicowe
health,brak chorób przewlekłych
age,67
address,"ul. Kościuszki 15/3, 85-079 Bydgoszcz"
document-number,TK3983527
phone,574 777 072
document-number,64FW9HQ73
name,Alicja
sexual-orientation,heteroseksualny
city,PabianDce
school-name,Szkoła Podstawowa nr 5
date,23 06 2008 r
phone,574 777 072
ethnicity,Niemiec
document-number,XJ6116767
name,Jan
political-view,centrowe
document-number,5O41YUPUL
date,12 10 2005 r
name,Oliwia
address,"ul. Mickiewicza 51, Jaworzno"
email,3ryk.bąk50@0n3t.pl
email,marianna25@example.net
political-view,niezdecydowane
relative,córka Maria Wróbel
address,"ul. Szkolna 73, PrVemyśl"
sexual-orientation,aseksualny
phone,794 246 343
sexual-orientation,aseksualny
relative,syn Bartosz Wiśniewski
religion,brak wyznania
school-name,Uniwersytet Warsazwski
job-title,menedżer projektu
company,XYZ S.A.
company,Wielkopolski Wojewódzki Konserwator Zabytków
date,27.03.1990
school-name,Szkoła Policealna 'Nowa'
political-view,niez6ecydowane
school-name,Uniwersytet Warszawski
health,brak chorób przewlekłych
school-name,Liceum Ogólnokształcące im. M. Kopernika
job-title,projektant UX
city,Gliwice
email,gaja.kowalski28@wp.pl
sex,M
credit-card-number,5176 9889 1292 9216
bank-account,PL82963484249222472425546458
age,67
date-of-birth,23/01/1976
date-of-birth,1941-01-19
ethnicity,Białorusin
phone,514 588 331
document-number,TK3983527
school-name,Zespół Szkół Ekonomicznych
date,12 10 2005 r
email,rafał.sokół49@example.com
political-view,centrowe
email,marta.mazur76@onet.pl
bank-account,PL93241469668133316379683030
date,23 06 2008 r
relative,syn Bartosz Wiśniewski
city,Olecko
email,paweł.lis13@onet.pl
school-name,Uniwersytet Warszawski
sexual-orientation,anseksualny
credit-card-number,5176 9889 1292 9216
date-of-birth,23.02...
surname,Mroż
sexual-orientation,aseksualny
credit-card-number,3753-7168-1660-124
sex,F
pesel,51052206036
date,03/09/2013
date,14/05/202
ethnicity,R0sj4nin
bank-account,PL82963484249222472425546458
religion,prawosławny
address,"ul. Mickie5icza 51, Jaworzno"
bank-account,PL93241469668133316379683030
date,14/05/2023
name,Zuzanna
sex,inne
secret,AKIA1O7CRQXK7HRK2K0D
date,02 10 2007 r
age,70
secret,passwd:dkIucLhpya
username,jakub.szymański
school-name,Szkoła Podstawowa nr 5
relative,córka Maria Wróbel
phone,+48 513 078 320
bank-account,4281 3628 4213 4025
company,Logistyka i T@ansport S.A.
document-number,64FW9HQ73
health,brak chorób przewlekłych
document-number,5O41YUPUL
political-view,lewicowe
name,Eryk
bank-account,SE31000407630544279087082314
phone,+48 513-945-33
job-title,specjalista ds. HR
religion,muzułmanin
pesel,15311231502
school-name,Szkoła Podstawowa nr 5
pesel,35121847193
health,depresja
job-title,magazynier
pesel,4308155045
religion,protestant
school-name,Przedszkole nr 12
credit-card-number,4773022733128616
address,"ul. Lubelska 7, 20-090 Lublin"
age,67
city,Sieradz
document-number,IL0935108
phone,+48 782 582 g00
document-number,TK3983527
sexual-orientation,heteroseksualny
surname,Siwek
job-title,kierownik
sexual-orientation,biseksualny
school-name,Szkoła Policealna 'Nowa'
date-of-birth,23.02...
company,FPUH Kołpak
city,Oleśnica
address,"123 High St, Stockholm"
job-title,sprzedawca
address,"123 High St, Stockholm"
city,Działdowo
company,Burmistrz Miasta i Gminy w Oleśnica
name,Oliiwa
phone,514 588 331
pesel,4308155045
date,14/05/2023
political-view,prawicowe
political-view,centrowe
sexual-orientation,heteroseksualny
date-of-birth,1941-01-19
ethnicity,Polak
health,COVID-19 - przebyte
company,"""Świerkosz-Lisak s.c."""
school-name,Przedszkole nr 12
age,70
phone,+48 532-407-55
religion,żyd
sexual-orientation,heteroseksualny
city,Legnica
phone,574 777 072
bank-account,PL02528571328836990477139111
bank-account,PL34074083822208098581349311
ethnicity,Niemiec
credit-card-number,5434560361066861
ethnicity,Rom
date-of-birth,13/0101996
sex,kobieta
religion,prawoslawny
political-view,c3ntr0w3
religion,świadek Jehowy
sex,m
company,GMINA Nowa Ruda
sex,inne
email,wiktor.szymański34@wp.pl
sex,inne
health,alergia
health,astma
political-view,centrowe
credit-card-number,4773022733128616
sexual-orientation,panseksualny
document-number,8371-8805-7449
political-view,konserwatywne
sex,m
bank-account,8223 8855 6593 9975
username,szymon.czarnecki
school-name,Akademia...
age,70
ethnicity,R0sj4nin
document-number,5O41YUPUL
political-view,niezdec1dowane
relative,córka Karolina Kowalski
political-view,centrowe
email,juliusz.olszewski40@example.com
health,choroba serca
secret,AKIAVM7NMGN6WF780IHV
address,"al. Słonecznikowa 27, 10-776 Elbląg"
age,40
health,astma
phone,574 777 072
political-view,prawicowe
age,6
pesel,76100500683
age,80
sex,kobieta
name,nAdrzej
age,80
health,COVID-19 - przebyte
job-title,sprzedawca
document-number,64FW9HQ73
address,"ul. Grunwaldzka 55A, 10-544 Olsztyn"
surname,Sikora
name,Dawid
address,"l. Szkolna 73, PrVemyśl"
sex,M
job-title,inżynier oprogramowania
bank-account,PL07506551766745781923488361
username,@wiktor36
username,dawid.nowak
health,4stm4
date,14/05/2023
phone,+48 787 728 331
username,wonakania290
bank-account,PL075065517667457819234P8361
sex,m
job-title,menedżer projektu
political-view,liberalne
address,"ul. Nowy Świat 44, 00-001 Warszawa"
date,16 11 2006r
political-view,centrowe
company,Przychodnia Zdrowia Sp. z o.o.
username,jakub.szymański
sex,M
name,Sonia
date,12 10 2005 r
date,22.08.2017
credit-card-number,5176 9889 1292 9216
surname,Czarnecki
name,Marcin
surname,Olszewski
name,Ewa
religion,bak wyznania
username,helena_1@2
phone,+48 513-945-33
sexual-orientation,heteroseksualny
secret,AKIAVM7NMGN6WF780IHV
credit-card-number,3753-7068-1660-124
job-title,dyrektor
date,03/09/2013
sex,m
credit-card-number,4773022733128616
phone,574 777 072
pesel,4308155045
name,Natalia
phone,514 588 331
company,Związek Międzygminny PUSZCZA ZIELONKA
document-number,8371-8805-7449
political-view,centrowe
city,Poznań
bank-account,PL93241469668133316379683030
username,szymon.czarnecki
school-name,Liceum Ogólnokształcące im. M. Kopernika
document-number,64FW9HQ73
credit-card-number,3753-7168-1660-124
username,natalia_636
political-view,prawicowe
email,jan.urbański81@example.com
company,Logistyka i Transport S.A.
pesel,68051234513
surname,Michalski
name,Andrz3j
surname,Walczak
pesel,16320z09319
school-name,Przedszkole nr 12
health,alergia
ethnicity,Rosjanin
username,szymon.czarnecki
job-title,projektant UX
name,Apolonia
sex,S
city,Wągrowiec
name,Kacp€r
city,Nidzica
political-view,ewicowe
name,Gaja
date,2014-08-19
sexual-orientation,panseksualnW
company,ABC Sp. z o.o.
secret,AKIAYQTKE87V71JWB7EV
sexual-orientation,nieokreślony
religion,prawosławny
city,Sopot
pesel,90112757578
company,Związek Międzygminny PUSZCZA ZIELONKA
credit-card-number,5482-9184-8710-...
relative,córka Maria Wróbel
date-of-birth,23/01/1976
name,eronika
phone,+48 787 728 331
secret,passwd:lbyEtZuEjG
sex,m
email,magdalena.kowalczyk32@wp.pl
sexual-orientation,heteroseksualny
sex,kobieta
name,Maria
pesel,16320209319
surname,Borysiak
secret,passwd:nJGj1XdwLO
address,"ul. Grunwaldzka 55A, 10-544 Olsztyn"
company,FPUH Kołpak
address,"ul. Słowackiego 5, 40-094 Katow1ce"
pesel,68051234513
surname,Urbański
health,alergia
phone,+48 782 582 g00
political-view,lewicowe
sexual-orientation,heteroseksualny
date,16 11 2006r
relative,syn Bartosz Wiśniewski
name,MaMia
age,40
ethnicity,Polak
sexual-orientation,homoseksualny
credit-card-number,4925-1534-8731-1582
surname,Jaworski
email,tomasz.dąbrowski7@example.com
health,brak chorób przewlekłych
date-of-birth,1941-01-19
date,22.08.2017
sexual-orientation,homoseksualny
date,27.03.1990
document-number,8371-8805-7449
document-number,8371-8805-7449
city,Ostrowiec Świętokrzyski
sexual-orientation,biseksualny
city,Kościan
credit-card-number,5434560361066861
email,marta.czarnecki73@example.com
political-view,prawicowe
secret,passwd:lbyEtZuEjG
health,cukrzyca
email,anna.jabłoński94@wp.pl
ethnicity,Węgier
username,szymon.czarnecki
relative,mójbrat Piotr Bąk
ethnicity,Bi4ł0rusin
school-name,Liceum Ogólnokształcące im. M. Kopernika
job-title,magazynier
date,22.08.2017
phone,+48 782 582 g00
school-name,Technikum Informatyczne
job-title,kierowca
username,jakub.szymański
relative,moja siostra Andrzej Czarnecki
sex,inne
sex,m
sexual-orientation,h3t3r0s3ksu4lny
city,Szczctno
date,02 10 2007 r
document-number,XJ6116767
date-of-birth,29/08/1995
school-name,Szkoła Policealna 'Nowa'
school-name,Szkoła Policealna 'Nowa'
